Year,Winner,Sire,Dam,2nd Pl,3rd Pl,Time
1905,Agile,Sir Dixon,Alpena,Rams Horn,Layson,02:10.8
1904,Elwood,Free Knight,Petticoat,Ed Tierney,Brancas,02:08.5
1903,Judge Himes,Esher,Lullaby,Early6,Bourbon9,02:09.0
1902,Alan-A-Dale,Halma,Sudie Mcnairy,Inventor,The Rival,02:08.8
1901,His Eminence,Falsetto,Patroness,Sannazarro,Driscoll,02:07.8
1900,Lieut Gibson,G W Johnson,Sophia Hardy,Florizar,Thrive,02:06.2
1899,Manuel,Bob Miles,Espanita,Corsini2,Mazo,02:12.0
1898,Plaudit,Himyar,Cinderella2,Lieber Karl,Isabey,02:09.0
1897,Typhoon,Top Gallant,Dolly Varden,Ornament2,Dr Catlett,02:12.5
1896,Ben Brush,Bramble,Roseville,Ben Eder,Semper Ego,02:07.8
1895,Halma,Hanover,Julia L,Basso,Laureate7,02:37.5
1894,Chant,Falsetto,Addie C,Pearl Song,Sigurd2,02:41.0
1893,Lookout,Troubadour,Christina,Plutus,Boundless,02:39.3
1892,Azra,Reform,Albia,Huron,Phil Dwyer,02:41.5
1891,Kingman,Glengarry,Patricia,Balgowan,High Tariff,02:52.3
1890,Riley,Longfellow,Geneva,Bill Letcher,Robespierre,02:45.0
1889,Spokane,Hyder Ali,Interpose,Proctor Knott,Once Again,02:34.5
1888,Macbeth,Macduff,Agnes,Gallifet,White,02:38.3
1887,Montrose,Duke Of Montrose,Patti,Jim Gore,Jacobin,02:39.3
1886,Ben Ali,Virgil,Ulrica,Blue Wing,Free Knight,02:36.5
1885,Joe Cotton,King Alfonso,Inverness,Bersan,Ten Booker,02:37.3
1884,Buchanan,Buckden,Mrs Grigsby,Loftin,Audrain,02:40.3
1883,Leonatus,Longfellow,Semper Felix,Drake Carter,Lord Raglan,02:43.0
1882,Apollo,Lever,Rebecca T Price,Runnymede,Bengal6,02:40.3
1881,Hindoo,Virgil,Florence,Lelex,Alfambra,02:40.0
1880,Fonso,King Alfonso,Weatherwitch,Kimball2,Bancroft,02:37.5
1879,Lord Murphy,Pat Malloy,Wenonah,Falsetto,Strathmore,02:37.0
1878,Day Star,Star Davis,Squeeze-Em,Himyar,Leveller,02:37.3
1877,Baden-Baden,Australian,Lavender,Leonard,King William,02:38.0
1876,Vagrant,Virgil,Lazy,Creedmoor,Harry Hill,02:38.3
1875,Aristides,Leamington,Sarong,Volcano,Verdigris5,02:37.7
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
