,,,FIRST START BACK,,,,,,
YEAR,DIVISION,HORSE,CLS,ODDS,FAV,FIN,NOTE,,RACING CLASS KEY:
2007,3YO Filly,Rags to Riches,RET,,,,,,
2008,3YO Filly,Proud Spell,AOC,0.20,Y,2,,,
2009,3YO Filly,Rachel Alexandra,STK,0.05,Y,2,,,
2010,3YO Filly,Blind Luck,GRD,0.70,Y,2,,,
2011,3YO Filly,Royal Delta,GRD,1.10,N,2,,,
2012,3YO Filly,Questing,RET,,,,,,
2013,3YO Filly,Beholder,STK,0.10,Y,1,,,
2014,3YO Filly,Untapable,GRD,0.10,Y,2,,,
2015,3YO Filly,Stellar Wind,GRD,3.00,N,2,,,
2016,3YO Filly,Songbird,GRD,0.35,Y,1,,,
2017,3YO Filly,Abel Tasman,GRD,0.60,Y,4,,,
1971,3YO Male,Canonero II,STK,4.20,N,2,,,
1972,3YO Male,Key to the Mint,GRD,0.90,Y,1,,,
1973,3YO Male,Secretariat,RET,,,,,,
1974,3YO Male,Little Current,RET,,,,,,
1975,3YO Male,Wajima,RET,,,,,,
1976,3YO Male,Bold Forbes,RET,,,,,,
1977,3YO Male,Seattle Slew,ALW,0.10,Y,1,,,
1978,3YO Male,Affirmed,GRD,0.30,Y,3,,,
1979,3YO Male,Spectacular Bid,GRD,0.30,Y,1,,,
1980,3YO Male,Temperence Hill,GRD,0.40,Y,1,,,
1981,3YO Male,Pleasant Colony,RET,,,,,,
1982,3YO Male,Conquistador Cielo,RET,,,,,,
1983,3YO Male,Slew of Gold,ALW,0.40,Y,1,,,
1984,3YO Male,Swale,DEC,,,,,,
1985,3YO Male,Spend a Buck,RET,,,,,,
1986,3YO Male,Snow Chief,GRD,0.90,Y,3,,,
1987,3YO Male,Alysheba,GRD,0.90,Y,1,,,
1988,3YO Male,Risen Star,RET,,,,,,
1989,3YO Male,Sunday Silence,GRD,0.10,Y,1,,,
1990,3YO Male,Unbridled,STK,3.10,N,1,,,
1991,3YO Male,Hansel,RET,,,,,,
1992,3YO Male,A.P. Indy,RET,,,,,,
1993,3YO Male,Prairie Bayou,RET,,,,,,
1994,3YO Male,Holy Bull,STK,0.40,Y,1,,,
1995,3YO Male,Thunder Gulch,RET,,,,,,
1996,3YO Male,Skip Away,GRD,0.70,Y,2,,,
1997,3YO Male,Silver Charm,GRD,0.20,Y,1,,,
1998,3YO Male,Real Quiet,GRD,0.50,Y,2,,,
1999,3YO Male,Charismatic,RET,,,,,,
2000,3YO Male,Tiznow,GRD,0.30,Y,1,,,
2001,3YO Male,Point Given,RET,,,,,,
2002,3YO Male,War Emblem,RET,,,,,,
2003,3YO Male,Funny Cide,AOC,0.40,Y,1,,,
2004,3YO Male,Smarty Jones,RET,,,,,,
2005,3YO Male,Afleet Alex,RET,,,,,,
2006,3YO Male,Bernardini,RET,,,,,,
2007,3YO Male,Curlin,STK,0.20,Y,1,,,
2008,3YO Male,Big Brown,RET,,,,,,
2009,3YO Male,Summer Bird,RET,,,,,,
2010,3YO Male,Lookin at Lucky,RET,,,,,,
2011,3YO Male,Animal Kingdom,AOC,0.60,Y,1,,,
2012,3YO Male,I'll Have Another,RET,,,,,,
2013,3YO Male,Will Take Charge,GRD,1.50,Y,2,,,
2014,3YO Male,California Chrome,GRD,1.40,N,2,,,
2015,3YO Male,American Pharoah,RET,,,,,,
2016,3YO Male,Arrogate,GRD,0.90,Y,1,,,
2017,3YO Male,West Coast,GRD,3.70,N,2,,,
2007,Female Sprinter,Maryfield,RET,,,,,,
2008,Female Sprinter,Indian Blessing,GRD,1.00,Y,2,,,
2009,Female Sprinter,Informed Decision,GRD,0.50,Y,3,,,
2010,Female Sprinter,Dubai Majesty,RET,,,,,,
2011,Female Sprinter,Musical Romance,STK,3.20,N,4,,,
2012,Female Sprinter,Groupie Doll,GRD,0.20,Y,3,,,
2013,Female Sprinter,Groupie Doll,GRD,0.40,Y,1,,,
2014,Female Sprinter,Judy the Beauty,GRD,0.95,Y,3,,,
2015,Female Sprinter,La Verdad,STK,0.40,Y,1,,,
2016,Female Sprinter,Finest City,GRD,0.40,Y,1,,,
2017,Female Sprinter,Unique Bella,GRD,0.10,Y,1,,,
1971,Male Sprinter,Ack Ack,RET,,,,,,
1972,Male Sprinter,Chou Croute*,GRD,1.00,Y,1,,,
1973,Male Sprinter,Shecky Greene,STK,0.90,Y,2,,,
1974,Male Sprinter,Forego,GRD,0.80,Y,1,,,
1975,Male Sprinter,Gallant Bob,GRD,2.00,Y,1,,,
1976,Male Sprinter,My Juliet*,STK,0.90,Y,1,,,
1977,Male Sprinter,What a Summer*,ALW,0.60,Y,1,,,
1978 (tie),Male Sprinter,Dr. Patches,GRD,9.60,N,9,,,
1978 (tie),Male Sprinter,J.O. Tobin,RET,,,,,,
1979,Male Sprinter,Star de Naskra,RET,,,,,,
1980,Male Sprinter,Plugged Nickle,GRD,1.10,Y,9,,,
1981,Male Sprinter,Guilty Conscience,RET,,,,,,
1982,Male Sprinter,Gold Beauty*,STK,0.40,Y,1,,,
1983,Male Sprinter,Chinook Pass,RET,,,,,,
1984,Male Sprinter,Eillo,RET,,,,,,
1985,Male Sprinter,Precisionist,GRD,0.30,Y,1,,,
1986,Male Sprinter,Smile,STK,0.90,Y,2,,,
1987,Male Sprinter,Groovy,RET,,,,,,
1988,Male Sprinter,Gulch,RET,,,,,,
1989,Male Sprinter,Safely Kept,ALW,0.20,Y,1,,,
1990,Male Sprinter,Housebuster,STK,0.40,Y,2,,,
1991,Male Sprinter,Housebuster,RET,,,,,,
1992,Male Sprinter,Rubiano,RET,,,,,,
1993,Male Sprinter,Cardmania,GRD,1.90,N,1,,,
1994,Male Sprinter,Cherokee Run,STK,1.50,N,1,,,
1995,Male Sprinter,Not Surprising,STK,0.80,Y,5,,,
1996,Male Sprinter,Lit de Justice,RET,,,,,,
1997,Male Sprinter,Smoke Glacken,RET,,,,,,
1998,Male Sprinter,Reraise,GRD,0.30,Y,1,,,
1999,Male Sprinter,Artax,RET,,,,,,
2000,Male Sprinter,Kona Gold,GRD,0.30,Y,1,,,
2001,Male Sprinter,Squirtle Squirt,GRD,0.80,Y,2,,,
2002,Male Sprinter,Orientate,RET,,,,,,
2003,Male Sprinter,Aldebaran,RET,,,,,,
2004,Male Sprinter,Speightstown,RET,,,,,,
2005,Male Sprinter,Lost in the Fog,STK,0.40,Y,2,,,
2006,Male Sprinter,Thor's Echo,GRD,,,6,Returned in Dubai,,
2007,Male Sprinter,Midnight Lute,GRD,0.90,Y,10,,,
2008,Male Sprinter,Benny the Bull,GRD,2.90,N,2,,,
2009,Male Sprinter,Kodiak Kowboy,RET,,,,,,
2010,Male Sprinter,Big Drama,GRD,0.50,Y,1,,,
