Year,Winner,Sire,Dam,2nd Pl,3rd Pl,Time
1908,Royal Tourist,Sandringham,Leisure,Live Wire,Robert Cooper,01:46.4
1907,Don Enrique,Hastings,Bella Donna,Ethon,Zambesi,01:45.4
1906,Whimsical,Orlando,Kismet,Content,Larabie,01:45.0
1905,Cairngorm,Star Ruby,Linda Vista,Kiamesha,Coy Maid,01:45.8
1904,Bryn Mawr,Atheling,Maggie Weir,Wotan8,Dolly Spanker,01:44.2
1903,Flocarline,St Florian,Carline,Mackey Dwyer,Rightful,01:44.8
1902,Old England,Goldfinch,Queen Bess,Major Daingerfield,Namtor,01:45.8
1901,The Parader,Longstreet,Pretence,Sadie S,Dr Barlow,01:47.2
1900,Hindus,Volante,Ignite,Sarmatian,Ten Candles,01:48.4
1899,Half Time,Hanover,Pandora,Filigrane,Lackland,01:47.0
1898,Sly Fox,Silver Fox,Asteria,The Huguenot,Nuto,01:49.8
1897,Paul Kauvar,Pirate Of Penzance,Spirit,Elkins,On Deck,01:51.3
1896,Margrave,St Blaise,Lady Margaret,Hamilton,Intermission,01:51.0
1895,Belmar,Belvidere,Adele,April Fool,Sue Kittie,01:50.5
1894,Assignee,Spendthrift,Maid Of Athol,Potentate,Ed Kearney,01:49.3
1893,No Race,N/A,N/A,N/A,N/A,N/A
1892,No Race,N/A,N/A,N/A,N/A,N/A
1891,No Race,N/A,N/A,N/A,N/A,N/A
1890,Montague,Mortemer,Evadne,Philosophy,Barrister,02:36.7
1889,Buddhist,Hindoo,Emma Hanly,Japhet,N/A,02:17.5
1888,Refund,Sensation,Letty,Judge Murray,Glendale,02:49.0
1887,Dunboyne,Uncas,Frey,Mahoney,Raymond,02:39.5
1886,The Bard,Longfellow,Brademante,Eurus,Elkwood,02:45.0
1885,Tecumseh,Attila,The Squaw,Wickham,John C,02:49.0
1884,Knight of Ellerslie,Eolus,Lizzie Hazlewood,Welcher,N/A,02:39.5
1883,Jacobus,The Ill-Used,Nellie James,Parnell,N/A,02:42.5
1882,Vanguard,Virgil,La Henderson,Heck,Colonel Watson,02:44.2
1881,Saunterer,Leamington,Lemonade,Compensation,Baltic,02:40.5
1880,Grenada,King Alfonso,Mattie Gross,Oden,Emily F,02:40.5
1879,Harold,Leamington,Maggie B B,Jericho8,Rochester,02:40.5
1878,Duke of Magenta,Lexington,Magenta,Bayard,Albert,02:41.8
1877,Cloverbrook,Vauxhall,Maudina,Bombast,Lucifer,02:45.5
1876,Shirley,Lexington,Miss Carter,Rappahannock,Algerine,02:44.8
