HORSE,SIRE,DAM,DAMSIRE,LOC,TRAINER,OWNER,BREEDER
Cherry Wine,Paddy O'Prado,C.S. Royce,Unbridled's Song,KY,Dale Romans,"Pacella, William and Jones, Jr., Frank L.","Pacella Racing, Frank L. Jones Jr., Frank Shoop"
Classic Ride,Fusaichi Pegasus,Morgan's Gold,Touch Gold,GA,Bobby Barnett,Dennis Morgan,Dennis Ralph Morgan
Classy Bird,Birdstone,Classy Aly ,Sky Classic,LA,Lonnie Briley,"Norman Stables, LLC",Allen Guillotte Jr.
Clear the Way,Fort Prado,Dotted Swiss,Swiss Yodeler,KY,Philip D'Amato,"Fanticola, Anthony and Scardino, Joseph",Richard Forbush
Coach Q,Super Saver,Quiet Kim,Real Quiet,KY,Bob Baffert,"Watson, Karl, Pegram, Michael E. and Weitman, Paul",Winstar Farm LLC
Cocked and Loaded,Colonel John,Catch the Moon,Malibu Moon,KY,Larry Rivelli,"Ravin, Richard and Patricia's Hope LLC",Bob Austin & John Witte
Cold Blood,Flatter,Kathy K D,Saint Ballado,KY,Enrique Sanchez,Rontos Racing Stable Corp.,Dr. & Mrs. Walter Zent & Tony Ho
Collected,City Zip,Helena Bay (GB),Johannesburg,KY,Bob Baffert,Speedway Stable LLC,Runnymede Farm Inc & Peter Callahan
Collective Wisdom,Quiet American,Toccet Over,Toccet,FL,Michael Dilger,"Hick Stead Farm, Hannon, Chris and Hannon, Nicki",Hickstead Farm
Colonel Dan,Colonel John,Balmy,Salt Lake,KY,Wesley Hawley,Daniel Whitlow,Doug Cauthen & Casner Racing LP
Commend,War Front,Praise,Mr. Prospector,KY,William Mott,"Claiborne Farm and Dilschneider, Adele B.",Claiborne Farm & Adele B. Dilschneider
Condominium,Tiznow,Garden Distric,Dixie Union,KY,D. Wayne Lukas,"Baker, Robert C. and Mack, William L.",Lochlow Farm
Conquest Big E,Tapit,Seeinsbelieven,Carson City,KY,Mark Casse,"Conquest Stables, LLC",Gainesway Thoroughbreds Ltd
Conquest Daddyo,Scat Daddy,Hanginbyamoment,Thunder Gulch,ON,Mark Casse,"Conquest Stables, LLC","James Everatt, Janeane Everatt & Arika Everatt-Meeuse"
Conquest Harlequin,Harlan's Holiday,Time for a Crown,Time for a Change,FL,Mark Casse,"Conquest Stables, LLC",Prince Farm
Conquest Streetwar,Street Cry (IRE),Never is a Promise,Capote,KY,Mark Casse,"Conquest Stables, LLC",SF Bloodstock
Conquest Superstar,Uncle Mo,Being Anna,Aldebaran,KY,Mark Casse,"Conquest Stables, LLC",Hare Forest Farm LTD
Conquest Windycity,Tiznow,Lasting Appeal,A.P. Indy,KY,Mark Casse,"Conquest Stables, LLC",Winstar Farm LLC
Cotton Town,Hat Trick (JPN),Cotton Club Ballet,Street Cry (IRE),KY,D. Wayne Lukas,Calumet Farm,Runnymede Farm Inc & The Peter J. Callahan Revocable Trust
Creator,Tapit,Morena (Per),Privately Held,KY,Steven Asmussen,WinStar Farm LLC,Mt. Brilliant Broodmares I LLC
Crescent Drive,Flower Alley,Patience Drive,Pulpit,KY,Darwin Banach,John Stephen McDonald,Eugene Melnyk 
Cupid,Tapit,Pretty 'n Smart,Beau Genius,KY,Bob Baffert,"Tabor, Michael B., Magnier, Mrs. John, and Smith, Derrick",JKG Thoroughbreds LLC
Curlin Rules,Curlin,Awe That,Boundry,KY,John Sadler,Hronis Racing LLC,W. S. Farish
Cutacorner,Even the Score,Pathologist,Gone West,KY,Jack Van Berg,Kay Stillman,Millennium Farms
Danebury,Super Saver,That's Ok,Not for Love,NY,Eddie Kenneally,Kildare Stud and Bloodstock Management Stable,Eaton & Thorne Inc
Danzing Candy,Twirling Candy,Talkin and Singing,Songandaprayer,KY,"Clifford Sise, Jr.","Halo Farms, Bashor, Jim and Bashor, Diane",Halo Farms
Dazzling Gem,Misremembered,Dazzler,Vindication,KY,Brad Cox,Steve Landers Racing LLC,Lisa Reynolds & Jennifer Feiner
Decorated Soldier,Proud Citizen,Lakenhealth,Colonial Affair,KY,Todd Pletcher,Eclipse Thoroughbred Partners,Green Lantern Stables LLC
Demonslayer,Tale of the Cat,Impressive Miss,Matthews Keep,CA,Richard Baltas,Cicero Farms,Barbara J. Ranck
Denman's Call,Northern Afleet,Maggie McGowan,Salt Lake,KY,Doug O'Neill,"W. C. Racing, Verge, Mark W. and Gilman Stables","W. C. Racing, Milt Gilman & Mark Verge"
Deserved,Flatter,Just,Awesome Again,KY,William Mott,"Claiborne Farm and Dilschneider, Adele B.",Claiborne Farm & Adele B. Dilschneider
Destin,Giant's Causeway,Dream of Summer,Siberian Summer,KY,Todd Pletcher,"Twin Creeks Racing Stables, LLC",James C. Weigel & Taylor Made Stallions Inc 
Diplodocus,Sky Mesa,Speciality,Carson City,KY,Richard Baltas,Bloom Racing Stable LLC (Jeffrey Bloom) and Head of Plains Partners LLC,Oxley TCF Stallions et all & Robert Losey
Direct Message,Bernardini,Tweeter,Unbridled's Song,KY,Thomas Albertrani,Godolphin Racing LLC,Marylou Whitney Stables LLC
Discreetly Firm,Discreetly Mine,Sweet Rider,Seeking the Gold,KY,William Fires,Xpress Thoroughbreds LLC.,Courtlandt Farm
Discreetness,Discreet Cat,Fondness,Elusive Quality,KY,William Fires,Xpress Thoroughbreds LLC.,Trackside Farm & Tenlane Farm
Divine Shift,Harlan's Holiday,Bees,Rahy,KY,Reade Baker,"Zayat Stables, LLC",Charles Fipke
Dixie Runner,Flatter,Dixie Crisp,Dixieland Band,KY,Chad Brown,"LaPenta, Robert V., Bridlewood Farm and Sheep Pond Partners","A. R. Enterprises, Hollendorfer, Todaro & Bluegrass Farm Partners"
Doctor Mounty,Street Sense,On a Roll,A.P. Indy,KY,Claude McGaughey III,"Pratt, Larry and Alden, Dave","G. Watts Humphrey Jr., Susie Keller, Olver & G. Watts Humphrey III"
Dolphus,Lookin At Lucky,Lotta Kim,Roar,KY,Joe Sharp,Dede McGehee,Heaven Trees Farm
Don't Be So Salty,Tiz Wonderful,Unbridled Salt,Unbridled's Song,FL,Gary Contessa,"Platinum Seven LLC, Guarino, Dan and Boutelle, Julia C.",John A. DeVault III & Sue S. DeVault
Donegal Moon,Malibu Moon,Perfect Cause ,Giant's Causeway,KY,Todd Pletcher,Donegal Racing,Patchen Wilkes Farm LLC
Drefong,Gio Ponti,Eltimaas,Ghostzapper,KY,Bob Baffert,Baoma Corporation,"Frederick M. Allor, Michael T. Barrett, Anthony M. Warrender"
Dressed in Hermes,Hat Trick (JPN),Elusive Fashion,Elusive Quality,KY,Janet Armstrong,Budget Stable,Budget Stables
Driven West,Awesome Again,Abba Gold,Devil's Bag,KY,Bob Baffert,"West, Gary and Mary",Five-D Thoroughbreds LLC
Economic Model,Flatter,Queen of America,Quiet American,KY,Chad Brown,"Klaravich Stables, Inc. and Lawrence, William H.",Claiborne Farm
Eddie Haskell,Square Eddie,Teresa Ann,Boston Harbor,CA,Doug O'Neill,Reddam Racing LLC,Reddam Racing LLC
Ekati Wildcat,Tale of Ekati,Danish Wildcat,Danehill,KY,Roger Attfield,Charles E. Fipke,Charles Fipke
El Charro,Put It Back,Fairy Valley,Dixieland Band,FL,David Jacobson,Golden Legacy Stable LLC,Cherie M. Abner & Michael A. Bossio
Emoji Man,Quality Road,Social Scene,Tabasco Cat,KY,D. Wayne Lukas,"Zayat Stables, LLC","John Mulholland, Martha Jane Mulholland & Pegasus Stud, LLC"
Engram,Street Hero,Kristy Beethoven,Kris S.,KY,Ricky Agarie,"Cho, Raxon, Elevated Bloodstock, Inc. and Agarie, Ricky",Myung Kwon Cho
Enroute,Bernardini,Dubai Belle,Mr. Prospector,KY,Thomas Albertrani,Godolphin Racing LLC,Darley
Eric the Trojan,More Than Ready,Catchofthecentury,Carson City,KY,Peter Miller,Rockingham Ranch,Mike Abraham
Esposito,Ghostzapper,Money My Honey,Red Bullet,ON,Thomas Proctor,Chartwell Partnership,Adena Springs
