Horse,Color / Sex / Age,Trainer,Owner
GALATIANS,b.c.3,Todd A. Pletcher,"WinStar Farm, LLC , China Horse Club International Ltd. , SF Racing, LLC and Head of Plains Partners LLC"
GAMBIT,b.c.3,"George R. Arnold, II",Preston Madden
GIDU (IRE),gr/ro.c.3,Todd A. Pletcher,"Zayat Stables, LLC"
GIVEMEAMINIT,b.c.3,Dallas Stewart,Valene Farms
GLEASON,ch.c.3,Todd A. Pletcher,"Paul P. Pompa, Jr."
GLOBAL CITIZEN,dk b/.c.3,Horacio DePaz,Sagamore Farm
GO GET THE MUNNY,ch.g.3,Thomas Morley,West Point Thoroughbreds and Robert Masiello
GOOD MAGIC,ch.c.3,Chad C. Brown,e Five Racing Thoroughbreds and Stonestreet Stables LLC
GOODWILLAMBASSADOR,dk b/.c.3,Philip D'Amato,Agave Racing Stable and Jeffry Wilke
GOTTA GO,gr/ro.c.3,Ian R. Wilkes,"Lothenbach Stables, Inc."
GRACIDA,ch.r.3,Doug O'Neill,Zedan Racing Stables
GRANDPA KNOWS BEST,dk b/.c.3,Kenneth G. McPeek,Fern Circle Stables
GREAT COMMISSION,ch.c.3,Javier Jose Sierra,"Madsen Racing, LLC"
GREYVITOS,gr/ro.c.3,Adam Kitchingman,Triple B Farms
GRONKOWSKI,dk b/.c.3,Jeremy Noseda,"Phoenix Thoroughbred, LTD"
HALEL,gr/ro.c.3,TBD,Holly Hoffman
HAWKISH,b.g.3,James J. Toner,AJ Suited LLC and Robert V. LaPenta
HAZAPOUR (IRE),ch.c.3,Dermot K. Weld,H.H. Aga Khan
HAZIT,b.c.3,Todd A. Pletcher,"Eclipse Thoroughbred Partners, M, Magnier, M. Tabor and D. Smith"
HE HATE ME,b.c.3,Horacio DePaz,Sagamore Farm
HE TAKES CHARGE,gr/ro.c.3,Mark E. Casse,William C. Schettine and John C. Oxley
HEARTFULLOFSTARS,dk b/.c.3,"Clark, D. Philip D'Amato","Agave Racing Stable, Bran Jam Stable, Little Red Feather Racing and Clark, D"
HEAVENHASMYNIKKI,ch.f.3,Anthony T. Quartarolo,"Loooch Racing Stable, Inc. "
HECK YEAH,dk b/.c.3,Bob Baffert,Michael Pageler and Michael Sigband
HERE'S CARLOS,gr/ro.g.3,Eric N. Foster,Foster Family Racing
HIGH NORTH,b.c.3,Brad H. Cox,"Shortleaf Stable, Inc."
HIGHER POWER,b.c.3,Donnie K. Von Hemel,"Pin Oak Stable, LLC "
HILL BENT,gr/ro.c.3,D. Wayne Lukas,Calumet Farm D.
HOFBURG,ch.c.3,William I. Mott,"Juddmonte Farms, Inc."
HOLLYWOOD STAR,dk b/.c.3,Dale L. Romans,"Albaugh Family Stables, LLC D"
HONOR GUARD,b.c.3,Bob Baffert,"Hebert Bloodstock and Queen Bee Racing, LLC"
HONORABLE TREASURE,b.c.3,Kenneth G. McPeek,"Harold Lerner, LLC , AWC Stables , Scott K. Akman and Nehoc Stables "
HYNDFORD,ch.c.3,Todd A. Pletcher,Donegal Racing 
IKE,b.c.3,Bob Baffert,"Westrock Stables, LLC"
