Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0015,"Bill Murphy, Agent XII","","La Diva","03/24/2005","B",Mare,"Vindication","Sunny Mimosa","Munnings","05/16/2016","pregnant","Broodmare","Out",0
1,0016,"Legacy Bloodstock, Agent XVII","","Lady Paislee","04/19/2012","B",Mare,"Warrior's Reward","Cape Discovery","","","","Racing or Broodmare Prospect","*RNA (5,500)",---
1,0017,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds","","Lady's Touch","04/05/2004","DB/BR",Mare,"Touch Gold","Chosen Lady","Will Take Charge","07/03/2016","not pregnant","Broodmare","Ben McElroy, Agent",8000
1,0018,"Baccari Bloodstock, Agent III","","Lake Como","03/02/2003","GR/RO",Mare,"Salt Lake","Lovely Ghost","Constitution","04/30/2016","pregnant","Broodmare","*RNA (72,000)",---
1,0019,"Bluewater Sales LLC, Agent XVII","","Lands Down Street","01/28/2014","DB/BR",Filly,"Scat Daddy","Sheer Beauty","","","","Racing or Broodmare Prospect","Out",0
1,0020,"Scott Mallory, Agent V","","Lan Lan","04/02/2009","CH",Mare,"Noble Causeway","D Lan Lady","Dialed In","03/07/2016","pregnant","Broodmare","*RNA (9,000)",---
1,0021,"Bedouin Bloodstock, Agent IV","","Munnings --- Laura's Pleasure","05/03/2016","B",Filly,"Munnings","Laura's Pleasure","","","","Yearling","Out",0
1,0022,"Allied Bloodstock, Agent I","","Les Fazzani (IRE)","02/19/2004","B",Mare,"Intikhab","Massada (GB)","Magician (IRE)","02/15/2016","pregnant","Broodmare","Out",0
1,0023,"Buckland Sales (Zach Madden), Agent VI","","Broken Vow --- L' Espoir","02/24/2016","B",Colt,"Broken Vow","L' Espoir","","","","Yearling","Millennium Farms",3000
1,0024,"Sally Thomas, Agent","","To Honor and Serve --- Light My World","02/20/2016","DB/BR",Filly,"To Honor and Serve","Light My World","","","","Yearling","Out",0
1,0025,"Buck Pond Farm (Douglas S. Arnold), Agent","","Lil Bess","05/14/2013","DB/BR",Mare,"In Summation","Cricket Box","Algorithms","03/08/2016","pregnant","Broodmare","Springland Farm",35000
1,0026,"Dromoland Farm Inc. (Gerry Dilger), Agent IV","","To Honor and Serve --- Lily's Pulpit","02/24/2016","B",Filly,"To Honor and Serve","Lily's Pulpit","","","","Yearling","Russell Welch",1500
1,0027,"Garrencasey Sales LLC, Agent I","","Animal Kingdom --- Linnea Cal","01/17/2016","CH",Filly,"Animal Kingdom","Linnea Cal","","","","Yearling","*RNA (14,000)",---
1,0028,"Buckland Sales (Zach Madden), Agent IX","","Little Cyclone","03/19/2013","CH",Filly,"City Zip","Chase the Storm","","","","Racing or Broodmare Prospect","Roderick Wachman Bloodstock",75000
1,0029,"Darby Dan Farm, Agent XLI","","Little Egypt","03/29/2007","DB/BR",Mare,"Dixie Union","Doo Wop","Kitten's Joy","05/20/2016","pregnant","Broodmare","*RNA (27,000)",---
1,0030,"Buck Pond Farm (Douglas S. Arnold), Agent","","Little Widow Maker","04/09/2008","DB/BR",Mare,"Orientate","In Love Again","Fed Biz","05/17/2016","pregnant","Broodmare","*RNA (37,000)",---
1,0031,"South Point Sales Agency, Agent IV","","Violence --- Lyrically","02/18/2016","DB/BR",Filly,"Violence","Lyrically","","","","Yearling","Out",0
1,0032,"VanMeter-Gentry Sales, Agent XI","","Macquarie Street","03/16/2012","DB/BR",Mare,"Street Cry (IRE)","Zigember","Tale of the Cat","05/25/2016","pregnant","Broodmare","Out",0
1,0033,"Hill 'n' Dale Sales Agency, Agent","","Stormy Atlantic --- Magically","04/04/2016","CH",Colt,"Stormy Atlantic","Magically","","","","Yearling","Blue Sky Stables",4000
1,0034,"Allied Bloodstock, Agent I","","Magic School","04/10/2008","B",Mare,"In Excess (IRE)","The Usual","Summer Front","05/23/2016","pregnant","Broodmare","Out",0
1,0035,"Woodford Thoroughbreds, Agent","","Candy Ride (ARG) --- Magic Union","02/22/2016","B",Filly,"Candy Ride (ARG)","Magic Union","","","","Yearling","*RNA (29,000)",---
1,0036,"Vinery Sales, Agent XXV","","Mahdia","05/28/2015","B",Filly,"Astrology","Majestic Dy","","","","Racing or Broodmare Prospect","Out",0
1,0037,"South Point Sales Agency, Agent X","","City Zip --- Marchonin","04/04/2016","CH",Filly,"City Zip","Marchonin","","","","Yearling","Out",0
1,0038,"Summerfield (Francis & Barbara Vanlangendonck) Agent for","Parrish Hill Farm","Verrazano --- Margarita Miss","05/10/2016","DB/BR",Filly,"Verrazano","Margarita Miss","","","","Yearling","Out",0
1,0039,"Claiborne Farm, Agent","","Market Savvy","02/01/2009","B",Mare,"Street Sense","Cuyahoga","Liam's Map","06/15/2016","not pregnant","Broodmare","*RNA (0)",---
1,0040,"Select Sales, Agent III","","Verrazano --- Martita Sangrita","02/02/2016","CH",Filly,"Verrazano","Martita Sangrita","","","","Yearling","Out",0
1,0041,"Romans Racing & Sales, Agent XV","","Flat Out --- Marvelous Monkey","03/22/2016","DB/BR",Colt,"Flat Out","Marvelous Monkey","","","","Yearling","Out",0
1,0042,"Bill Murphy, Agent IV","","Masa","02/20/2002","GR/RO",Mare,"Dixie Union","My Yellow Diamond","Jersey Town","03/14/2016","pregnant","Broodmare","Brandi Jo Fett / Hidden Acres",1000
1,0043,"Taylor Made Sales Agency, Agent XXIX","","Melodic","04/29/2013","CH",Filly,"Tale of the Cat","Christina's Melody","","","","Racing or Broodmare Prospect","Out",0
1,0044,"Taylor Made Sales Agency, Agent XXXIV","","Malibu Moon --- Mema","04/04/2016","B",Colt,"Malibu Moon","Mema","","","","Yearling","Calumet Farm",80000
1,0045,"Blackburn Farm (Michael T. Barnett), Agent","","Midnight Eclipse","02/01/2011","DB/BR",Mare,"Malibu Moon","Middleburg Mint","Half Ours","03/15/2016","pregnant","Broodmare","*RNA (15,000)",---
1,0046,"Taylor Made Sales Agency, Agent XXXVII","","Midnight Miley","04/17/2012","B",Filly,"Midnight Lute","Moneybru","","","","Racing or Broodmare Prospect","*RNA (245,000)",---
1,0047,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent I","","Minstrel Show","05/05/2002","DB/BR",Mare,"Tale of the Cat","Proud Minstrel","Blame","04/14/2016","pregnant","Broodmare","Hunter Valley Farm",30000
1,0048,"Bill Murphy, Agent VII","","Miss Copley Hall","04/01/2002","CH",Mare,"More Than Ready","Cup of Cheers","Stay Thirsty","06/02/2016","pregnant","Broodmare","*RNA (0)",---
1,0049,"Bill Murphy, Agent VII","","Dialed In --- Miss Copley Hall","05/12/2016","CH",Filly,"Dialed In","Miss Copley Hall","","","","Yearling","Rexy Bloodstock",35000
1,0050,"Darby Dan Farm, Agent L","","Miss Major","05/09/2011","B",Mare,"Candy Ride (ARG)","Double Major","Uncle Mo","04/25/2016","pregnant","Broodmare","Out",0
1,0051,"Taylor Made Sales Agency, Agent LXII","","Miss Metropolitan","04/06/2013","CH",Filly,"Leroidesanimaux (BRZ)","Such a Sweet Girl","","","","Racing or Broodmare Prospect","Out",0
1,0052,"Bedouin Bloodstock, Agent VI","","Take Charge Indy --- Missy Turtle","05/13/2016","B",Colt,"Take Charge Indy","Missy Turtle","","","","Yearling","Simmons Bloodstock",15000
1,0053,"Denali Stud (Craig & Holly Bandoroff), Agent XII","","Modern Lady","05/06/2013","DB/BR",Filly,"Candy Ride (ARG)","Harriett Lane","","","","Broodmare Prospect","Claiborne Farm, Agent",50000
1,0054,"Taylor Made Sales Agency, Agent LVI","","Moment Is Right","02/04/2013","DB/BR",Filly,"Medaglia d'Oro","Rite Moment","","","","Racing or Broodmare Prospect","Out",0
1,0055,"Claiborne Farm, Agent","","Trappe Shot --- Mosey","03/10/2015","DB/BR",Filly,"Trappe Shot","Mosey","","","","Racing or Broodmare Prospect","Ardell Sayler",1500
1,0056,"Romans Racing & Sales, Agent XXI","","Mo's Teresa","01/13/2010","B",Mare,"Momentum","Teresa Ann","Hard Spun","10/09/2016","pregnant","Broodmare","Stud HET",1500
1,0057,"Select Sales, Agent for Coteau Grove Farms LLC","","Tiznow --- Mum","05/19/2016","GR/RO",Colt,"Tiznow","Mum","","","","Yearling","Out",0
1,0058,"Taylor Made Sales Agency, Agent for Smitten Farm, Estate","of  William M. Backer Revocable Trust","My Mammy","04/28/2005","DB/BR",Mare,"Came Home","Divine Dixie","Blame","05/27/2016","pregnant","Broodmare","Sallusto and Albina, Agent for Newtown Anner Stud",72000
1,0059,"Buckland Sales (Zach Madden), Agent I","","My Place","05/09/2010","B",Mare,"Elusive Quality","Avalon Place","Oxbow","03/27/2016","pregnant","Broodmare","Ben McElroy, Agent",15000
1,0060,"Farfellow Farms Ltd.","","Uncle Mo --- Natchez Trace","04/07/2016","B",Colt,"Uncle Mo","Natchez Trace","","","","Yearling","deMeric Stables, Agent",140000
1,0061,"St. George Sales, Agent XI","","Neilinger","04/30/2012","B",Mare,"Tapit","Pursuit of Glory (IRE)","","","","Racing or Broodmare Prospect","Chad Schumer, Agent",70000
1,0062,"Hill 'n' Dale Sales Agency, Agent","","Violence --- Noon Time Shower","01/31/2016","CH",Filly,"Violence","Noon Time Shower","","","","Yearling","Amy N. Moore",40000
1,0063,"Taylor Made Sales Agency, Agent XVIII","","Nothing to Declare","04/11/2008","DB/BR",Mare,"Vindication","Spice Island","Uncle Mo","04/18/2016","pregnant","Broodmare","Chad Schumer, Agent",125000
1,0064,"Taylor Made Sales Agency, Agent VI","","Distorted Humor --- Nothing to Declare","03/19/2016","CH",Colt,"Distorted Humor","Nothing to Declare","","","","Yearling","Northface Bloodstock",100000
1,0065,"St. George Sales, Agent XV","","Now I Know","01/23/2009","GR/RO",Mare,"Pure Prize","Now U Know","Street Sense","06/10/2016","pregnant","Broodmare","Calumet Farm",57000
1,0066,"Taylor Made Sales Agency, Agent LIX","","Oblahlah","01/25/2010","B",Mare,"Tiz Wonderful","Lady Nichola","Pioneerof the Nile","06/20/2016","pregnant","Broodmare","*RNA (120,000)",---
1,0067,"St. George Sales, Agent XIV","","One Show Only","03/29/2012","B",Mare,"Distorted Humor","Showpiece","Paynter","02/18/2016","pregnant","Broodmare","*RNA (75,000)",---
1,0068,"St. George Sales, Agent XV","","Gio Ponti --- Oregon Lady (IRE)","03/30/2016","CH",Filly,"Gio Ponti","Oregon Lady (IRE)","","","","Yearling","R. L. Glosson",16000
1,0069,"St. George Sales, Agent XV","","Oregon Lady (IRE)","04/28/2007","B",Mare,"Shamardal","Oregon Trail","Hard Spun","04/26/2016","pregnant","Broodmare","Big Red Farm",80000
1,0070,"Taylor Made Sales Agency, Agent LIX","","More Than Ready --- Palabre","02/24/2016","CH",Colt,"More Than Ready","Palabre","","","","Yearling","Sparks View Farm, Agent",1500
1,0071,"Valkyre Stud, Agent","","Parabolique","03/06/2013","B",Filly,"Arch","Cottage Link","","","","Racing or Broodmare Prospect","Out",0
1,0072,"Denali Stud (Craig & Holly Bandoroff), Agent II","","Twirling Candy --- Passing Shower","03/24/2016","DB/BR",Filly,"Twirling Candy","Passing Shower","","","","Yearling","*RNA (9,000)",---
1,0073,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent II","","Union Rags --- Passion Du Coeur","04/09/2016","B",Colt,"Union Rags","Passion Du Coeur","","","","Yearling","Renee Dailey",105000
1,0074,"Scott Mallory, Agent II","","Patricias Prospect","04/05/2005","B",Mare,"A.P. Indy","Macoumba","Lookin At Lucky","03/27/2016","pregnant","Broodmare","Out",0
1,0075,"Bluewater Sales LLC, Agent X","","Street Sense --- Peinture Ancienne","05/15/2016","B",Colt,"Street Sense","Peinture Ancienne","","","","Yearling","American Equistock",17000
1,0076,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent II","","Penumbra","03/26/2011","CH",Mare,"Malibu Moon","Stellar","Union Rags","03/17/2016","pregnant","Broodmare","*RNA (60,000)",---
1,0077,"Taylor Made Sales Agency, Agent LIX","","Pick Up Line","03/08/2012","CH",Mare,"Hard Spun","Date Stone","Into Mischief","05/05/2016","pregnant","Broodmare","*RNA (125,000)",---
1,0078,"Hurstland Farm (Alfred H. Nuckols, Jr.), Agent","","Street Sense --- Please Sign In","03/18/2016","DB/BR",Colt,"Street Sense","Please Sign In","","","","Yearling","Bloodstock Investments IV",165000
1,0079,"Legacy Bloodstock, Agent VIII","","Orb --- Plethora","03/04/2016","DB/BR",Colt,"Orb","Plethora","","","","Yearling","Out",0
1,0080,"Woodford Thoroughbreds, Agent","","Praise Be","03/14/2011","CH",Mare,"Pulpit","Red Hot Bertie","Soldat","02/17/2016","pregnant","Broodmare","Gayle Van Leer, Agent",20000
1,0081,"Summerfield (Francis and Barbara Vanlangendonck), Agent XCV","","Sky Mesa --- Precious Lady","02/08/2016","DB/BR",Colt,"Sky Mesa","Precious Lady","","","","Yearling","Out",0
1,0082,"Legacy Bloodstock, Agent V","","Revolutionary --- Pretty Danseur","01/30/2016","B",Filly,"Revolutionary","Pretty Danseur","","","","Yearling","*RNA (4,500)",---
1,0083,"Brandywine Farm (Jim & Pam Robinson), Agent III","","Creative Cause --- Princess Henri","04/13/2016","GR/RO",Colt,"Creative Cause","Princess Henri","","","","Yearling","Tyler Robinson",1000
1,0084,"Allied Bloodstock, Agent I","","Creative Cause --- Princess Severus (IRE)","03/27/2016","GR/RO",Filly,"Creative Cause","Princess Severus (IRE)","","","","Yearling","*RNA (9,000)",---
1,0085,"Vinery Sales, Agent XXXI","","Prominent","01/28/2004","GR/RO",Mare,"El Prado (IRE)","Biblionic","Astrology","06/10/2016","pregnant","Broodmare","Fitzroy Farm",55000
1,0086,"Darby Dan Farm, Agent XLI","","Pronto Pronto","01/19/2006","DB/BR",Mare,"Fusaichi Pegasus","Salty Romance","Kitten's Joy","03/26/2016","pregnant","Broodmare","J. Stevens Bloodstock, Agent",35000
1,0087,"Bluewater Sales LLC, Agent IV","","Proud and Charming","05/09/2009","DB/BR",Mare,"Proud Citizen","Dynamism","The Factor","03/23/2016","pregnant","Broodmare","Out",0
1,0088,"South Point Sales Agency, Agent VII","","Punkin's Pride","04/07/2012","B",Mare,"Bluegrass Cat","North Beach","Tonalist","04/13/2016","pregnant","Broodmare","*RNA (72,000)",---
1,0089,"Claiborne Farm, Agent","","First Samurai --- Pun","04/07/2016","DB/BR",Colt,"First Samurai","Pun","","","","Yearling","Bloodstock Investments IV",135000
1,0090,"Hunter Valley Farm, Agent","","Quality Pearl","02/14/2009","B",Mare,"Elusive Quality","Marianka","Shanghai Bobby","04/12/2016","pregnant","Broodmare","Paula Taube",40000
1,0091,"Bluewater Sales LLC, Agent III","","Quality Rocks","02/12/2012","DB/BR",Mare,"Rock Hard Ten","Elusive Virgin","","","","Racing or Broodmare Prospect","Out",0
1,0092,"Bill Murphy, Agent III","","Liaison --- Queenameina","02/26/2016","B",Colt,"Liaison","Queenameina","","","","Yearling","*RNA (15,000)",---
1,0093,"Fort Christopher's Thoroughbreds LLC, Agent V","","Queen Buxley","02/08/2012","B",Mare,"Super Saver","Finmore Queen","Awesome Again","03/25/2016","pregnant","Broodmare","*RNA (47,000)",---
1,0094,"Woodford Thoroughbreds, Agent","","Queen Jolene","03/18/2014","DB/BR",Filly,"Bernardini","Queen Joanne","","","","Racing or Broodmare Prospect","Out",0
1,0095,"Taylor Made Sales Agency, Agent LXXIII","","Queen of the Spa","03/03/2011","B",Mare,"First Samurai","Passion Du Coeur","Kitten's Joy","05/26/2016","pregnant","Broodmare","*RNA (27,000)",---
1,0096,"Taylor Made Sales Agency, Agent LXXIII","","Queen's Causeway","03/13/2003","DB/BR",Mare,"Giant's Causeway","Palacoona (FR)","Kitten's Joy","05/25/2016","pregnant","Broodmare","*RNA (24,000)",---
1,0097,"Denali Stud (Craig & Holly Bandoroff), Agent X","","Quinta Verde (IRE)","01/22/2012","B",Mare,"Tamayuz (GB)","Tatbeeq (IRE)","","","","Broodmare Prospect","Out",0
1,0098,"Select Sales, Agent XV","","Rate of Exchange","03/19/2005","DB/BR",Mare,"Exchange Rate","Hannah's Ink","Tonalist","03/14/2016","pregnant","Broodmare","*RNA (32,000)",---
1,0099,"Select Sales, Agent XV","","Arch --- Rate of Exchange","01/20/2016","DB/BR",Filly,"Arch","Rate of Exchange","","","","Yearling","John Sondereker",70000
1,0100,"Taylor Made Sales Agency, Agent LVII","","Rather Beautiful","04/06/2011","CH",Mare,"Malibu Moon","Virden","","","","Broodmare Prospect","*RNA (70,000)",---
1,0101,"Taylor Made Sales Agency, Agent XI","","Regala Di Trieste","03/31/2002","CH",Mare,"Old Trieste","Star of Goshen","Competitive Edge","05/08/2016","pregnant","Broodmare","*RNA (25,000)",---
1,0102,"Allied Bloodstock, Agent I","","The Factor --- Regal Betty","02/27/2016","DB/BR",Colt,"The Factor","Regal Betty","","","","Yearling","Out",0
1,0103,"Meadowlark Valley Sales, Agent I","","Reggae Song","01/22/2012","GR/RO",Mare,"Speightstown","Queen of Song","","","","Broodmare Prospect","Out",0
1,0104,"Vinery Sales, Agent IV","","Renesmee","03/16/2007","DB/BR",Mare,"Giant's Causeway","Warm Mood","Flatter","03/06/2016","pregnant","Broodmare","Out",0
1,0105,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds","","Resonating","04/27/2009","DB/BR",Mare,"Smart Strike","Winter House","Bodemeister","06/11/2016","pregnant","Broodmare","Tod Mountain Thoroughbreds",10000
1,0106,"Sequel New York, Agent","","Revered","02/27/2008","B",Mare,"Dixie Union","Lady Tap","Constitution","04/05/2016","pregnant","Broodmare","Berkey Bloodstock",50000
1,0107,"Hunter Valley Farm, Agent","","Cairo Prince --- Rey Lake","02/22/2016","B",Filly,"Cairo Prince","Rey Lake","","","","Yearling","Chuck Allen",52000
1,0108,"Taylor Made Sales Agency, Agent LIX","","Riverboat Queen","02/21/2010","GR/RO",Mare,"English Channel","Queen's Court","Noble Mission (GB)","06/06/2016","pregnant","Broodmare","*RNA (20,000)",---
1,0109,"Taylor Made Sales Agency, Agent LIX","","Romacaca","03/02/2006","DB/BR",Mare,"Running Stag","Romaca","Carpe Diem","04/25/2016","pregnant","Broodmare","Calumet Farm",72000
1,0110,"St. George Sales, Agent XIV","","Gemologist --- Roust 'Em Bertie","02/18/2016","B",Colt,"Gemologist","Roust 'Em Bertie","","","","Yearling","Dove Run Bloodstock",52000
1,0111,"St. George Sales, Agent XXI","","Roust 'Em Bertie","03/10/2010","B",Mare,"Bertrando","Rousing Again","Majesticperfection","05/11/2016","pregnant","Broodmare","*RNA (30,000)",---
1,0112,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds","","Loyal","02/03/2016","B",Filly,"Super Saver","Royalty","","","","Yearling","*RNA (7,000)",---
1,0113,"Buckland Sales (Zach Madden), Agent VII","","Rules R Rules","02/24/2007","B",Mare,"Peace Rules","Misty Mountains","Wicked Strong","09/11/2016","pregnant","Broodmare","Christopher Lesbines",5000
1,0114,"St. George Sales, Agent XII","","Take Charge Indy --- Saintly Spirit","02/12/2016","DB/BR",Filly,"Take Charge Indy","Saintly Spirit","","","","Yearling","*RNA (14,000)",---
1,0115,"St. George Sales, Agent XII","","Saintly Spirit","02/21/2006","B",Mare,"El Prado (IRE)","Saintly Action","Girolamo","03/14/2016","pregnant","Broodmare","*RNA (8,000)",---
1,0116,"Allied Bloodstock, Agent I","","Samurai's Honor","04/25/2011","CH",Mare,"First Samurai","Trip","Summer Front","04/16/2016","pregnant","Broodmare","Out",0
1,0117,"Vinery Sales, Agent XXII","","Saritta","04/05/2013","DB/BR",Filly,"Indygo Shiner","Hard Lesson","","","","Broodmare Prospect","Out",0
1,0118,"Baccari Bloodstock, Agent II","","Saskawea","03/15/2004","CH",Mare,"Stormy Atlantic","Saintly Angel","Uncle Mo","06/02/2016","not pregnant","Broodmare","Tommy Wente",2500
1,0119,"Valkyre Stud, Agent I","","Goldencents --- Satin Sunset","03/18/2016","B",Filly,"Goldencents","Satin Sunset","","","","Yearling","*RNA (4,000)",---
1,0120,"Fort Christopher's Thoroughbreds LLC, Agent","","Central Banker --- Savasana","03/03/2016","DB/BR",Filly,"Central Banker","Savasana","","","","Yearling","Summerfield Sales, Agent",31000
1,0121,"Hill 'n' Dale Sales Agency, Agent","","Savings Account","03/25/2011","GR/RO",Mare,"Medaglia d'Oro","Wild Hoots","","","","Racing or Broodmare Prospect","Out",0
1,0122,"Sequel New York, Agent","","Scene Maker","03/18/2001","GR/RO",Mare,"Unbridled's Song","Walk in Time","Verrazano","05/18/2016","pregnant","Broodmare","Machmer Hall",36000
1,0123,"Denali Stud (Craig & Holly Bandoroff), Agent XXI","","Scott's Aly Cat","04/03/2008","CH",Mare,"Tale of the Cat","Queens Carousel","Tonalist","02/26/2016","pregnant","Broodmare","*RNA (60,000)",---
1,0124,"Claiborne Farm, Agent","","Sea Coast (IRE)","02/24/2011","B",Mare,"Rock of Gibraltar (IRE)","Varna (GB)","","","","Racing or Broodmare Prospect","Out",0
1,0125,"Taylor Made Sales Agency, Agent XXIII","","Secret Dream (IRE)","04/22/1999","B",Mare,"Zafonic","Sleepytime (IRE)","Candy Ride (ARG)","04/16/2016","pregnant","Broodmare","Anthony Penfold, Agent for Parsonage Stud",55000
1,0126,"St. George Sales, Agent III","","Hard Spun --- Seemingly","04/15/2016","B",Filly,"Hard Spun","Seemingly","","","","Yearling","Out",0
1,0127,"Brandywine Farm (Jim & Pam Robinson), Agent I","","Sentimental Charm","02/19/2003","GR/RO",Mare,"Silver Charm","River Cache","Verrazano","04/20/2016","pregnant","Broodmare","*RNA (37,000)",---
1,0128,"Brandywine Farm (Jim & Pam Robinson), Agent I","","Verrazano --- Sentimental Charm","03/03/2016","GR/RO",Colt,"Verrazano","Sentimental Charm","","","","Yearling","*RNA (47,000)",---
1,0129,"Claiborne Farm, Agent","","Lemon Drop Kid --- Shatoosh","03/15/2016","CH",Filly,"Lemon Drop Kid","Shatoosh","","","","Yearling","John Sondereker",30000
1,0130,"Bluewater Sales LLC, Agent VIII","","She Be Keene","03/21/2010","B",Mare,"Posse","Trappings","Union Rags","05/11/2016","pregnant","Broodmare","Out",0
1,0131,"Woodford Thoroughbreds, Agent","","She's a Gold Mine","01/24/2010","CH",Mare,"Smart Strike","In the Gold","He's Had Enough","04/02/2016","pregnant","Broodmare","Solis/Litt",45000
1,0132,"Legacy Bloodstock, Agent XIX","","She's Copacetic","03/18/2009","B",Mare,"Harlan's Holiday","Married for Money","Take Charge Indy","05/29/2016","pregnant","Broodmare","My Daughters' Stable",12000
1,0133,"Hunter Valley Farm, Agent","","She's Justa Friend","03/27/2005","CH",Mare,"Hussonet","Sage Cat","Quality Road","04/05/2016","pregnant","Broodmare","Hurricane Hills",50000
1,0134,"Taylor Made Sales Agency, Agent VIII","","Sheza Smoke Show","02/01/2011","B",Mare,"Wilko","Avery Hall","Liam's Map","03/14/2016","pregnant","Broodmare","Not This Time / A. F .S.",190000
1,0135,"Taylor Made Sales Agency, Agent VIII","","Malibu Moon --- Sheza Smoke Show","02/18/2016","B",Colt,"Malibu Moon","Sheza Smoke Show","","","","Yearling","John Cummins",45000
1,0136,"Taylor Made Sales Agency, Agent XXIV","","Shining Strike","03/03/2011","B",Mare,"Smart Strike","Resplendency","Constitution","02/13/2016","pregnant","Broodmare","The Kitchen",27000
1,0137,"Darby Dan Farm, Agent XLI","","Shoot the Moon","04/06/2012","CH",Mare,"Hard Spun","Comacina","Kitten's Joy","05/14/2016","pregnant","Broodmare","Jared Hagaman",35000
1,0138,"Garrencasey Sales LLC, Agent","","Shortbread Scotty","04/22/2010","CH",Mare,"Bluegrass Cat","Very Special Lite","Tonalist","04/08/2016","pregnant","Broodmare","Fairview",130000
1,0139,"Select Sales, Agent VII","","Flashback --- Shouldn't We All","04/28/2016","CH",Filly,"Flashback","Shouldn't We All","","","","Yearling","Sallusto & Albina, Agt. for Riversedge Racing",15000
1,0140,"Hagyard Farm, Agent","","Shrilanka","01/30/2010","B",Mare,"Pleasantly Perfect","Weekend Connection","Include","02/23/2016","pregnant","Broodmare","*RNA (22,000)",---
1,0141,"Taylor Made Sales Agency, Agent LXV","","Siempre Mia","04/24/2013","GR/RO",Filly,"Scat Daddy","Shaconage","","","","Broodmare Prospect","McCauley Farms",45000
1,0142,"Denali Stud (Craig & Holly Bandoroff), Agent XIX","","Fed Biz --- Silvereniecharm","02/07/2016","CH",Colt,"Fed Biz","Silvereniecharm","","","","Yearling","*RNA (15,000)",---
1,0143,"Taylor Made Sales Agency, Agent LXXVI","","Simply Confection","01/29/2012","B",Mare,"Candy Ride (ARG)","Ballado's Halo","","","","Racing or Broodmare Prospect","Not This Time / A. F .S.",90000
1,0144,"Legacy Bloodstock, Agent XVI","","Can the Man --- Simply Sensational","04/11/2016","CH",Filly,"Can the Man","Simply Sensational","","","","Yearling","BHMFR, LLC",10000
1,0145,"Hill 'n' Dale Sales Agency, Agent","","Siren Serenade","02/15/2006","B",Mare,"Unbridled's Song","Versailles Treaty","Tapit","06/04/2016","pregnant","Broodmare","Don Alberto Corporation",1025000
